StateAquaticToxins,UNIT_CODE,StateCiguatera,State,StateRegulation,StateSWShellfishConsumptionAdvisory,AdvisoryStateEPA,State_Full,ParkContact,Park,StateContaminationAdvisory,USFWS_TE,test,SuperintendentsCompendium,SpecialRegulation,Region,GeneralRegulation,ParkHomepage,AdvisoryPark,Fish,FishSpeciesState,Fishing,Coastal,StateFishConsumptionAdvisory,Species,FishSpeciesPark,lon,lat
https://www.google.com/search?q=Northern+Mariana+Islands+aquatic+toxins+fish+shellfish+advisory,AMME,https://www.google.com/search?q=Northern+Mariana+Islands+ciguatera+fish+shellfish+advisory,MP,"<a target=""_blank"" href=""http://www.cnmi-dfw.com/fishing-rules.php"">MP</a>",https://www.nps.gov/articles/shellfish-consumption-advisory.htm,https://fishadvisoryonline.epa.gov/General.aspx,Northern+Mariana+Islands+,https://www.nps.gov/AMME/contacts.htm,American Memorial Park,https://www.google.com/search?q=Northern+Mariana+Islands+fish+shellfish+bacteria+parasite+pathogen+advisory,http://ecos.fws.gov/tess_public/reports/species-listed-by-state-report?state=MP&status=listed,No,https://www.nps.gov/AMME/learn/management/lawsandpolicies.htm,http://www.ecfr.gov/cgi-bin/text-idx?SID=2e55b9b6836e9cbfee32ff83066c4d95&mc=true&tpl=/ecfrbrowse/Title36/36cfr7_main_02.tpl,PW,http://www.ecfr.gov/cgi-bin/text-idx?SID=f0949b5a6d51ee4d57ad25381fe61212&mc=true&node=se36.1.2_13&rgn=div8,https://www.nps.gov/AMME,https://www.nps.gov/search/?affiliate=nps&query=fish+consumption+advisory+shellfish+advisory&sitelimit=nps.gov%2FAMME,https://www.nps.gov/search/?affiliate=nps&query=fish&sitelimit=nps.gov/AMME,https://www.google.com/search?q=fish+species+in+Northern+Mariana+Islands,https://www.nps.gov/search/?affiliate=nps&query=fishing&sitelimit=nps.gov/AMME,0,https://www.google.com/search?q=Northern+Mariana+Islands+fish+consumption+advisory,https://irma.nps.gov/NPSpecies/Search/SpeciesList/AMME,https://www.google.com/search?q=fish+species+in+American+Memorial+Park,145.72400130761434,15.215015173811253
https://www.google.com/search?q=Oregon+aquatic+toxins+fish+shellfish+advisory,CRLA,https://www.google.com/search?q=Oregon+ciguatera+fish+shellfish+advisory,OR,"<a target=""_blank"" href=""http://www.dfw.state.or.us/"">OR</a>",https://www.google.com/search?q=Oregon+shellfish+consumption+advisory,https://fishadvisoryonline.epa.gov/General.aspx,Oregon+,https://www.nps.gov/CRLA/contacts.htm,Crater Lake National Park,https://www.google.com/search?q=Oregon+fish+shellfish+bacteria+parasite+pathogen+advisory,http://ecos.fws.gov/tess_public/reports/species-listed-by-state-report?state=OR&status=listed,No,https://www.nps.gov/CRLA/learn/management/lawsandpolicies.htm,http://www.ecfr.gov/cgi-bin/text-idx?SID=2e55b9b6836e9cbfee32ff83066c4d95&mc=true&tpl=/ecfrbrowse/Title36/36cfr7_main_02.tpl,PW,http://www.ecfr.gov/cgi-bin/text-idx?SID=f0949b5a6d51ee4d57ad25381fe61212&mc=true&node=se36.1.2_13&rgn=div8,https://www.nps.gov/CRLA,https://www.nps.gov/search/?affiliate=nps&query=fish+consumption+advisory+shellfish+advisory&sitelimit=nps.gov%2FCRLA,https://www.nps.gov/search/?affiliate=nps&query=fish&sitelimit=nps.gov/CRLA,https://www.google.com/search?q=fish+species+in+Oregon,https://www.nps.gov/search/?affiliate=nps&query=fishing&sitelimit=nps.gov/CRLA,0,https://www.google.com/search?q=Oregon+fish+consumption+advisory,https://irma.nps.gov/NPSpecies/Search/SpeciesList/CRLA,https://www.google.com/search?q=fish+species+in+Crater+Lake+National+Park,-122.13281644722122,42.94108619926874
https://www.google.com/search?q=Washington+aquatic+toxins+fish+shellfish+advisory,EBLA,https://www.google.com/search?q=Washington+ciguatera+fish+shellfish+advisory,WA,"<a target=""_blank"" href=""http://wdfw.wa.gov/"">WA</a>",https://www.google.com/search?q=Washington+shellfish+consumption+advisory,https://fishadvisoryonline.epa.gov/General.aspx,Washington+,https://www.nps.gov/EBLA/contacts.htm,Ebey's Landing National Historical Reserve,https://www.google.com/search?q=Washington+fish+shellfish+bacteria+parasite+pathogen+advisory,http://ecos.fws.gov/tess_public/reports/species-listed-by-state-report?state=WA&status=listed,Yes,https://www.nps.gov/EBLA/learn/management/lawsandpolicies.htm,http://www.ecfr.gov/cgi-bin/text-idx?SID=2e55b9b6836e9cbfee32ff83066c4d95&mc=true&tpl=/ecfrbrowse/Title36/36cfr7_main_02.tpl,PW,http://www.ecfr.gov/cgi-bin/text-idx?SID=f0949b5a6d51ee4d57ad25381fe61212&mc=true&node=se36.1.2_13&rgn=div8,https://www.nps.gov/EBLA,https://www.nps.gov/search/?affiliate=nps&query=fish+consumption+advisory+shellfish+advisory&sitelimit=nps.gov%2FEBLA,https://www.nps.gov/search/?affiliate=nps&query=fish&sitelimit=nps.gov/EBLA,https://www.google.com/search?q=fish+species+in+Washington,https://www.nps.gov/search/?affiliate=nps&query=fishing&sitelimit=nps.gov/EBLA,1,https://www.google.com/search?q=Washington+fish+consumption+advisory,https://irma.nps.gov/NPSpecies/Search/SpeciesList/EBLA,https://www.google.com/search?q=fish+species+in+Ebey's+Landing+National+Historical+Reserve,-122.68771590496499,48.21401400324373
https://www.google.com/search?q=Washington+aquatic+toxins+fish+shellfish+advisory,LACH,https://www.google.com/search?q=Washington+ciguatera+fish+shellfish+advisory,WA,"<a target=""_blank"" href=""http://wdfw.wa.gov/"">WA</a>",https://www.google.com/search?q=Washington+shellfish+consumption+advisory,https://fishadvisoryonline.epa.gov/General.aspx,Washington+,https://www.nps.gov/LACH/contacts.htm,Lake Chelan National Recreation Area,https://www.google.com/search?q=Washington+fish+shellfish+bacteria+parasite+pathogen+advisory,http://ecos.fws.gov/tess_public/reports/species-listed-by-state-report?state=WA&status=listed,No,https://www.nps.gov/LACH/learn/management/lawsandpolicies.htm,http://www.ecfr.gov/cgi-bin/text-idx?SID=2e55b9b6836e9cbfee32ff83066c4d95&mc=true&tpl=/ecfrbrowse/Title36/36cfr7_main_02.tpl,PW,http://www.ecfr.gov/cgi-bin/text-idx?SID=f0949b5a6d51ee4d57ad25381fe61212&mc=true&node=se36.1.2_13&rgn=div8,https://www.nps.gov/LACH,https://www.nps.gov/search/?affiliate=nps&query=fish+consumption+advisory+shellfish+advisory&sitelimit=nps.gov%2FLACH,https://www.nps.gov/LACH/learn/nature/fish.htm,https://www.google.com/search?q=fish+species+in+Washington,https://www.nps.gov/search/?affiliate=nps&query=fishing&sitelimit=nps.gov/LACH,0,https://www.google.com/search?q=Washington+fish+consumption+advisory,https://irma.nps.gov/NPSpecies/Search/SpeciesList/LACH,https://www.google.com/search?q=fish+species+in+Lake+Chelan+National+Recreation+Area,-120.69990371918124,48.38241796221922
https://www.google.com/search?q=Washington+aquatic+toxins+fish+shellfish+advisory,LARO,https://www.google.com/search?q=Washington+ciguatera+fish+shellfish+advisory,WA,"<a target=""_blank"" href=""http://wdfw.wa.gov/"">WA</a>",https://www.google.com/search?q=Washington+shellfish+consumption+advisory,https://fishadvisoryonline.epa.gov/General.aspx,Washington+,https://www.nps.gov/LARO/contacts.htm,Lake Roosevelt National Recreation Area,https://www.google.com/search?q=Washington+fish+shellfish+bacteria+parasite+pathogen+advisory,http://ecos.fws.gov/tess_public/reports/species-listed-by-state-report?state=WA&status=listed,No,https://www.nps.gov/LARO/learn/management/lawsandpolicies.htm,http://www.ecfr.gov/cgi-bin/text-idx?SID=2e55b9b6836e9cbfee32ff83066c4d95&mc=true&tpl=/ecfrbrowse/Title36/36cfr7_main_02.tpl,PW,http://www.ecfr.gov/cgi-bin/text-idx?SID=f0949b5a6d51ee4d57ad25381fe61212&mc=true&node=se36.1.2_13&rgn=div8,https://www.nps.gov/LARO,https://www.nps.gov/search/?affiliate=nps&query=fish+consumption+advisory+shellfish+advisory&sitelimit=nps.gov%2FLARO,https://www.nps.gov/LARO/learn/nature/fish.htm,https://www.google.com/search?q=fish+species+in+Washington,https://www.nps.gov/LARO/planyourvisit/fishing.htm,0,https://www.google.com/search?q=Washington+fish+consumption+advisory,https://irma.nps.gov/NPSpecies/Search/SpeciesList/LARO,https://www.google.com/search?q=fish+species+in+Lake+Roosevelt+National+Recreation+Area,-118.71515359006611,47.91163750216907
https://www.google.com/search?q=Oregon+Washington+aquatic+toxins+fish+shellfish+advisory,LEWI,https://www.google.com/search?q=Oregon+Washington+ciguatera+fish+shellfish+advisory,"OR, WA","<a target=""_blank"" href=""http://www.dfw.state.or.us/"">OR</a>, <a target=""_blank"" href=""http://wdfw.wa.gov/"">WA</a>",https://www.google.com/search?q=Oregon+Washington+shellfish+consumption+advisory,https://fishadvisoryonline.epa.gov/General.aspx,Oregon+Washington+,https://www.nps.gov/LEWI/contacts.htm,Lewis and Clark National Historical Park,https://www.google.com/search?q=Oregon+Washington+fish+shellfish+bacteria+parasite+pathogen+advisory,http://ecos.fws.gov/tess_public/reports/species-listed-by-state-report?state=OR&status=listed,Yes,https://www.nps.gov/LEWI/learn/management/lawsandpolicies.htm,http://www.ecfr.gov/cgi-bin/text-idx?SID=2e55b9b6836e9cbfee32ff83066c4d95&mc=true&tpl=/ecfrbrowse/Title36/36cfr7_main_02.tpl,PW,http://www.ecfr.gov/cgi-bin/text-idx?SID=f0949b5a6d51ee4d57ad25381fe61212&mc=true&node=se36.1.2_13&rgn=div8,https://www.nps.gov/LEWI,https://www.nps.gov/search/?affiliate=nps&query=fish+consumption+advisory+shellfish+advisory&sitelimit=nps.gov%2FLEWI,https://www.nps.gov/LEWI/learn/nature/fish.htm,https://www.google.com/search?q=fish+species+in+Oregon+Washington,https://www.nps.gov/search/?affiliate=nps&query=fishing&sitelimit=nps.gov/LEWI,1,https://www.google.com/search?q=Oregon+Washington+fish+consumption+advisory,https://irma.nps.gov/NPSpecies/Search/SpeciesList/LEWI,https://www.google.com/search?q=fish+species+in+Lewis+and+Clark+National+Historical+Park,-124.06763244548097,46.2861825356955
https://www.google.com/search?q=Washington+aquatic+toxins+fish+shellfish+advisory,NOCA,https://www.google.com/search?q=Washington+ciguatera+fish+shellfish+advisory,WA,"<a target=""_blank"" href=""http://wdfw.wa.gov/"">WA</a>",https://www.google.com/search?q=Washington+shellfish+consumption+advisory,https://fishadvisoryonline.epa.gov/General.aspx,Washington+,https://www.nps.gov/NOCA/contacts.htm,North Cascades National Park,https://www.google.com/search?q=Washington+fish+shellfish+bacteria+parasite+pathogen+advisory,http://ecos.fws.gov/tess_public/reports/species-listed-by-state-report?state=WA&status=listed,No,https://www.nps.gov/NOCA/learn/management/lawsandpolicies.htm,http://www.ecfr.gov/cgi-bin/text-idx?SID=2e55b9b6836e9cbfee32ff83066c4d95&mc=true&tpl=/ecfrbrowse/Title36/36cfr7_main_02.tpl,PW,http://www.ecfr.gov/cgi-bin/text-idx?SID=f0949b5a6d51ee4d57ad25381fe61212&mc=true&node=se36.1.2_13&rgn=div8,https://www.nps.gov/NOCA,https://www.nps.gov/search/?affiliate=nps&query=fish+consumption+advisory+shellfish+advisory&sitelimit=nps.gov%2FNOCA,https://www.nps.gov/NOCA/learn/nature/fish.htm,https://www.google.com/search?q=fish+species+in+Washington,https://www.nps.gov/search/?affiliate=nps&query=fishing&sitelimit=nps.gov/NOCA,0,https://www.google.com/search?q=Washington+fish+consumption+advisory,https://irma.nps.gov/NPSpecies/Search/SpeciesList/NOCA,https://www.google.com/search?q=fish+species+in+North+Cascades+National+Park,-121.34660973774919,48.83319999018744
https://www.google.com/search?q=American+Samoa+aquatic+toxins+fish+shellfish+advisory,NPSA,https://www.google.com/search?q=American+Samoa+ciguatera+fish+shellfish+advisory,AS,"<a target=""_blank"" href=""http://www.wpcouncil.org/managed-fishery-ecosystems/american-samoa-archipelago/regulations-and-enforcement-samoa/"">AS</a>",https://www.google.com/search?q=American+Samoa+shellfish+consumption+advisory,https://fishadvisoryonline.epa.gov/General.aspx,American+Samoa+,https://www.nps.gov/NPSA/contacts.htm,National Park of American Samoa,https://www.google.com/search?q=American+Samoa+fish+shellfish+bacteria+parasite+pathogen+advisory,http://ecos.fws.gov/tess_public/reports/species-listed-by-state-report?state=AS&status=listed,Yes,https://www.nps.gov/NPSA/learn/management/lawsandpolicies.htm,http://www.ecfr.gov/cgi-bin/text-idx?SID=2e55b9b6836e9cbfee32ff83066c4d95&mc=true&tpl=/ecfrbrowse/Title36/36cfr7_main_02.tpl,PW,http://www.ecfr.gov/cgi-bin/text-idx?SID=f0949b5a6d51ee4d57ad25381fe61212&mc=true&node=se36.1.2_13&rgn=div8,https://www.nps.gov/NPSA,https://www.nps.gov/search/?affiliate=nps&query=fish+consumption+advisory+shellfish+advisory&sitelimit=nps.gov%2FNPSA,https://www.nps.gov/NPSA/learn/nature/fish.htm,https://www.google.com/search?q=fish+species+in+American+Samoa,https://www.nps.gov/search/?affiliate=nps&query=fishing&sitelimit=nps.gov/NPSA,1,https://www.google.com/search?q=American+Samoa+fish+consumption+advisory,https://irma.nps.gov/NPSpecies/Search/SpeciesList/NPSA,https://www.google.com/search?q=fish+species+in+National+Park+of+American+Samoa,-169.45260194672244,-14.23749052676635
https://www.google.com/search?q=Washington+aquatic+toxins+fish+shellfish+advisory,OLYM,https://www.google.com/search?q=Washington+ciguatera+fish+shellfish+advisory,WA,"<a target=""_blank"" href=""http://wdfw.wa.gov/"">WA</a>",https://www.google.com/search?q=Washington+shellfish+consumption+advisory,https://fishadvisoryonline.epa.gov/General.aspx,Washington+,https://www.nps.gov/OLYM/contacts.htm,Olympic National Park,https://www.google.com/search?q=Washington+fish+shellfish+bacteria+parasite+pathogen+advisory,http://ecos.fws.gov/tess_public/reports/species-listed-by-state-report?state=WA&status=listed,Yes,https://www.nps.gov/OLYM/learn/management/lawsandpolicies.htm,http://www.ecfr.gov/cgi-bin/text-idx?SID=2e55b9b6836e9cbfee32ff83066c4d95&mc=true&tpl=/ecfrbrowse/Title36/36cfr7_main_02.tpl,PW,http://www.ecfr.gov/cgi-bin/text-idx?SID=f0949b5a6d51ee4d57ad25381fe61212&mc=true&node=se36.1.2_13&rgn=div8,https://www.nps.gov/OLYM,https://www.nps.gov/search/?affiliate=nps&query=fish+consumption+advisory+shellfish+advisory&sitelimit=nps.gov%2FOLYM,https://www.nps.gov/OLYM/learn/nature/fish.htm,https://www.google.com/search?q=fish+species+in+Washington,https://www.nps.gov/OLYM/planyourvisit/fishing.htm,1,https://www.google.com/search?q=Washington+fish+consumption+advisory,https://irma.nps.gov/NPSpecies/Search/SpeciesList/OLYM,https://www.google.com/search?q=fish+species+in+Olympic+National+Park,-123.61834533806689,47.79456548580856
https://www.google.com/search?q=Washington+aquatic+toxins+fish+shellfish+advisory,ROLA,https://www.google.com/search?q=Washington+ciguatera+fish+shellfish+advisory,WA,"<a target=""_blank"" href=""http://wdfw.wa.gov/"">WA</a>",https://www.google.com/search?q=Washington+shellfish+consumption+advisory,https://fishadvisoryonline.epa.gov/General.aspx,Washington+,https://www.nps.gov/ROLA/contacts.htm,Ross Lake National Recreation Area,https://www.google.com/search?q=Washington+fish+shellfish+bacteria+parasite+pathogen+advisory,http://ecos.fws.gov/tess_public/reports/species-listed-by-state-report?state=WA&status=listed,No,https://www.nps.gov/ROLA/learn/management/lawsandpolicies.htm,http://www.ecfr.gov/cgi-bin/text-idx?SID=2e55b9b6836e9cbfee32ff83066c4d95&mc=true&tpl=/ecfrbrowse/Title36/36cfr7_main_02.tpl,PW,http://www.ecfr.gov/cgi-bin/text-idx?SID=f0949b5a6d51ee4d57ad25381fe61212&mc=true&node=se36.1.2_13&rgn=div8,https://www.nps.gov/ROLA,https://www.nps.gov/search/?affiliate=nps&query=fish+consumption+advisory+shellfish+advisory&sitelimit=nps.gov%2FROLA,https://www.nps.gov/ROLA/learn/nature/fish.htm,https://www.google.com/search?q=fish+species+in+Washington,https://www.nps.gov/search/?affiliate=nps&query=fishing&sitelimit=nps.gov/ROLA,0,https://www.google.com/search?q=Washington+fish+consumption+advisory,https://irma.nps.gov/NPSpecies/Search/SpeciesList/ROLA,https://www.google.com/search?q=fish+species+in+Ross+Lake+National+Recreation+Area,-121.17278329221512,48.70586052194557
